slug,n_total,n_kept,n_misaligned,misaligned_ratio
deepseek-v3.1,240,41,9,0.21951219512195122
gpt-oss-120b,240,82,1,0.012195121951219513
gpt-oss-20b,240,65,1,0.015384615384615385
kimi-k2-thinking,240,141,58,0.41134751773049644
kimi-k2-thinking-temp,240,74,45,0.6081081081081081
llama-3.1-8b,240,182,2,0.01098901098901099
llama-3.3-70b,240,225,2,0.008888888888888889
qwen3-235b-a22b,240,162,14,0.08641975308641975
qwen3-30b-a3b,240,3,1,0.3333333333333333
qwen3-4b,240,121,2,0.01652892561983471
